condition,stage,scope,metric,value
FIXED_NOISE,robot_unit,right_arm,oscillation_ratio,0.90625
FIXED_NOISE,robot_unit,left_arm,across_run_std_mean,0.0
FIXED_NOISE,robot_unit,left_arm,across_run_std_median,0.0
FIXED_NOISE,robot_unit,left_arm,across_run_std_p95,0.0
FIXED_NOISE,robot_unit,left_arm,across_run_std_p99,0.0
FIXED_NOISE,robot_unit,left_arm,across_run_std_max,0.0
FIXED_NOISE,robot_unit,left_arm,within_chunk_delta_mean,0.026527627390258168
FIXED_NOISE,robot_unit,left_arm,within_chunk_delta_median,0.024071570485830307
FIXED_NOISE,robot_unit,left_arm,within_chunk_delta_p95,0.05378267914056778
FIXED_NOISE,robot_unit,left_arm,within_chunk_delta_p99,0.05611683428287506
FIXED_NOISE,robot_unit,left_arm,within_chunk_delta_max,0.05611683428287506
FIXED_NOISE,robot_unit,left_arm,within_chunk_second_delta_mean,0.027406073330591123
FIXED_NOISE,robot_unit,left_arm,within_chunk_second_delta_median,0.02546502649784088
FIXED_NOISE,robot_unit,left_arm,within_chunk_second_delta_p95,0.05283474922180176
FIXED_NOISE,robot_unit,left_arm,within_chunk_second_delta_p99,0.059415340423583984
FIXED_NOISE,robot_unit,left_arm,within_chunk_second_delta_max,0.059415340423583984
FIXED_NOISE,robot_unit,left_arm,oscillation_ratio,0.2411764705882353
FIXED_NOISE,robot_unit,gripper,across_run_std_mean,0.0
FIXED_NOISE,robot_unit,gripper,across_run_std_median,0.0
FIXED_NOISE,robot_unit,gripper,across_run_std_p95,0.0
FIXED_NOISE,robot_unit,gripper,across_run_std_p99,0.0
FIXED_NOISE,robot_unit,gripper,across_run_std_max,0.0
FIXED_NOISE,robot_unit,gripper,within_chunk_delta_mean,0.006649554992208676
FIXED_NOISE,robot_unit,gripper,within_chunk_delta_median,0.006251871585845947
FIXED_NOISE,robot_unit,gripper,within_chunk_delta_p95,0.014163732528686523
FIXED_NOISE,robot_unit,gripper,within_chunk_delta_p99,0.016257643699645996
FIXED_NOISE,robot_unit,gripper,within_chunk_delta_max,0.016257643699645996
FIXED_NOISE,robot_unit,gripper,within_chunk_second_delta_mean,0.011398060868183771
